lead_id,created_date,stage,final_stage,deal_value,probability,source,industry,sales_rep,close_date,expected_revenue
LEAD-01996,2025-01-01,closed_lost,closed_lost,8436,0.0,marketing,tech,Taylor Brooks,2025-03-30,0.0
LEAD-01409,2025-01-01,closed_won,closed_won,7498,1.0,marketing,finance,Morgan Patel,2025-01-11,7498.0
LEAD-01482,2025-01-01,lead,closed_won,12373,1.0,marketing,retail,Morgan Patel,2025-03-21,12373.0
LEAD-01949,2025-01-01,qualified,qualified,6590,0.36,outbound,retail,Alex Chen,2025-03-21,2372.4
LEAD-01488,2025-01-01,lead,closed_lost,1160,0.0,outbound,tech,Taylor Brooks,2025-01-21,0.0
LEAD-01739,2025-01-02,closed_won,closed_won,13779,1.0,outbound,tech,Alex Chen,2025-03-27,13779.0
LEAD-00846,2025-01-02,lead,lead,13720,0.26,referral,retail,Taylor Brooks,2025-03-16,3567.2000000000003
LEAD-00845,2025-01-02,lead,closed_lost,14203,0.0,marketing,finance,Taylor Brooks,2025-03-06,0.0
LEAD-01913,2025-01-02,proposal,proposal,6044,0.79,referral,tech,Taylor Brooks,2025-01-17,4774.76
LEAD-00773,2025-01-02,lead,lead,10873,0.23,referral,retail,Morgan Patel,2025-02-27,2500.79
LEAD-01294,2025-01-02,lead,lead,2367,0.14,marketing,retail,Morgan Patel,2025-04-01,331.38000000000005
LEAD-01622,2025-01-02,proposal,proposal,4190,0.63,outbound,finance,Morgan Patel,2025-02-21,2639.7
LEAD-01237,2025-01-02,closed_lost,closed_lost,18872,0.0,marketing,tech,Taylor Brooks,2025-04-02,0.0
LEAD-01550,2025-01-02,proposal,proposal,10811,0.66,marketing,tech,Alex Chen,2025-03-09,7135.26
LEAD-00901,2025-01-02,qualified,qualified,3142,0.52,referral,tech,Alex Chen,2025-03-25,1633.8400000000001
LEAD-00381,2025-01-02,qualified,qualified,1909,0.4,marketing,tech,Morgan Patel,2025-03-27,763.6
LEAD-01190,2025-01-03,closed_won,closed_won,19991,1.0,outbound,retail,Morgan Patel,2025-01-25,19991.0
LEAD-00104,2025-01-03,lead,closed_lost,11356,0.0,outbound,finance,Jordan Lee,2025-01-13,0.0
LEAD-01279,2025-01-03,closed_lost,closed_lost,2029,0.0,outbound,tech,Alex Chen,2025-03-21,0.0
LEAD-00465,2025-01-03,closed_lost,closed_lost,19298,0.0,referral,finance,Alex Chen,2025-02-27,0.0
LEAD-00575,2025-01-03,lead,lead,5005,0.07,marketing,tech,Morgan Patel,2025-02-10,350.35
LEAD-00707,2025-01-03,lead,lead,8453,0.16,marketing,tech,Morgan Patel,2025-03-02,1352.48
LEAD-01763,2025-01-04,lead,closed_lost,17669,0.0,marketing,finance,Alex Chen,2025-01-18,0.0
LEAD-00303,2025-01-04,closed_won,closed_won,6493,1.0,outbound,tech,Alex Chen,2025-01-26,6493.0
LEAD-01175,2025-01-04,lead,lead,1587,0.08,marketing,finance,Alex Chen,2025-03-21,126.96000000000001
LEAD-01070,2025-01-04,closed_lost,closed_lost,9525,0.0,referral,tech,Taylor Brooks,2025-02-02,0.0
LEAD-01532,2025-01-04,lead,lead,13215,0.27,referral,tech,Jordan Lee,2025-03-19,3568.05
LEAD-01807,2025-01-04,lead,lead,16950,0.09,marketing,tech,Taylor Brooks,2025-04-03,1525.5
LEAD-00790,2025-01-05,lead,lead,12421,0.1,marketing,retail,Jordan Lee,2025-03-22,1242.1000000000001
LEAD-00801,2025-01-05,lead,lead,17668,0.23,referral,tech,Morgan Patel,2025-01-24,4063.6400000000003
LEAD-01682,2025-01-05,proposal,proposal,14340,0.6,outbound,tech,Jordan Lee,2025-02-15,8604.0
LEAD-01121,2025-01-06,qualified,qualified,3447,0.37,marketing,finance,Jordan Lee,2025-03-28,1275.3899999999999
LEAD-01038,2025-01-06,qualified,closed_won,5001,1.0,marketing,finance,Alex Chen,2025-03-31,5001.0
LEAD-00410,2025-01-06,lead,closed_lost,3796,0.0,outbound,tech,Alex Chen,2025-03-12,0.0
LEAD-00839,2025-01-06,proposal,proposal,12672,0.61,outbound,finance,Alex Chen,2025-03-05,7729.92
LEAD-00889,2025-01-06,proposal,proposal,17195,0.64,outbound,finance,Jordan Lee,2025-03-02,11004.800000000001
LEAD-01366,2025-01-07,closed_lost,closed_lost,12282,0.0,referral,tech,Alex Chen,2025-04-06,0.0
LEAD-01594,2025-01-07,qualified,closed_won,15681,1.0,marketing,tech,Morgan Patel,2025-03-25,15681.0
LEAD-00415,2025-01-07,proposal,closed_won,2502,1.0,marketing,tech,Jordan Lee,2025-01-25,2502.0
LEAD-00478,2025-01-07,lead,closed_lost,16926,0.0,outbound,finance,Jordan Lee,2025-02-02,0.0
LEAD-01652,2025-01-07,closed_lost,closed_lost,11608,0.0,marketing,finance,Alex Chen,2025-04-06,0.0
LEAD-01624,2025-01-07,proposal,proposal,6430,0.61,outbound,finance,Alex Chen,2025-02-14,3922.2999999999997
LEAD-00233,2025-01-08,lead,lead,9979,0.1,marketing,retail,Alex Chen,2025-03-25,997.9000000000001
LEAD-01529,2025-01-08,proposal,closed_won,13535,1.0,outbound,tech,Taylor Brooks,2025-02-27,13535.0
LEAD-00300,2025-01-08,proposal,proposal,14931,0.62,marketing,tech,Jordan Lee,2025-03-19,9257.22
LEAD-00540,2025-01-08,lead,lead,1533,0.05,marketing,tech,Jordan Lee,2025-03-12,76.65
LEAD-00170,2025-01-09,lead,lead,2819,0.16,marketing,retail,Taylor Brooks,2025-02-10,451.04
LEAD-01167,2025-01-09,proposal,proposal,5555,0.59,outbound,tech,Taylor Brooks,2025-02-23,3277.45
LEAD-00369,2025-01-09,closed_lost,closed_lost,14024,0.0,marketing,tech,Jordan Lee,2025-02-17,0.0
LEAD-01744,2025-01-09,proposal,proposal,11778,0.69,outbound,tech,Jordan Lee,2025-03-14,8126.82
LEAD-01783,2025-01-09,closed_lost,closed_lost,10021,0.0,referral,finance,Taylor Brooks,2025-02-24,0.0
LEAD-00272,2025-01-09,closed_lost,closed_lost,5691,0.0,marketing,retail,Morgan Patel,2025-01-25,0.0
LEAD-00821,2025-01-09,proposal,closed_lost,9009,0.0,outbound,finance,Taylor Brooks,2025-03-31,0.0
LEAD-00429,2025-01-10,proposal,proposal,18156,0.53,outbound,finance,Jordan Lee,2025-04-09,9622.68
LEAD-00454,2025-01-10,proposal,proposal,10225,0.58,outbound,tech,Alex Chen,2025-03-24,5930.5
LEAD-01399,2025-01-10,closed_lost,closed_lost,11870,0.0,marketing,tech,Morgan Patel,2025-01-22,0.0
LEAD-01180,2025-01-10,qualified,qualified,10760,0.32,outbound,finance,Morgan Patel,2025-02-13,3443.2000000000003
LEAD-01590,2025-01-11,proposal,proposal,13004,0.62,marketing,finance,Taylor Brooks,2025-01-22,8062.48
LEAD-01300,2025-01-11,qualified,qualified,6916,0.31,outbound,retail,Alex Chen,2025-02-04,2143.96
LEAD-01493,2025-01-11,qualified,qualified,7971,0.34,marketing,finance,Alex Chen,2025-04-11,2710.1400000000003
LEAD-00830,2025-01-11,lead,lead,11151,0.15,marketing,retail,Morgan Patel,2025-01-29,1672.6499999999999
LEAD-01944,2025-01-11,closed_won,closed_won,7870,1.0,marketing,finance,Alex Chen,2025-04-01,7870.0
LEAD-01869,2025-01-12,qualified,qualified,14029,0.33,outbound,tech,Alex Chen,2025-03-28,4629.570000000001
LEAD-01536,2025-01-12,lead,lead,10041,0.2,referral,tech,Morgan Patel,2025-03-04,2008.2
LEAD-00385,2025-01-12,lead,lead,17693,0.15,outbound,tech,Morgan Patel,2025-03-19,2653.95
LEAD-00138,2025-01-12,lead,lead,6487,0.09,marketing,tech,Jordan Lee,2025-03-20,583.8299999999999
LEAD-00787,2025-01-12,proposal,proposal,4758,0.6,marketing,finance,Alex Chen,2025-03-12,2854.7999999999997
LEAD-01683,2025-01-13,closed_won,closed_won,10684,1.0,marketing,finance,Taylor Brooks,2025-03-09,10684.0
LEAD-00147,2025-01-13,lead,lead,1528,0.13,outbound,retail,Taylor Brooks,2025-04-04,198.64000000000001
LEAD-00663,2025-01-13,proposal,proposal,2527,0.53,outbound,finance,Jordan Lee,2025-02-19,1339.3100000000002
LEAD-00328,2025-01-14,qualified,qualified,11840,0.4,referral,finance,Jordan Lee,2025-02-06,4736.0
LEAD-01446,2025-01-14,lead,lead,8949,0.23,referral,retail,Alex Chen,2025-04-03,2058.27
LEAD-01266,2025-01-14,closed_lost,closed_lost,17736,0.0,marketing,retail,Jordan Lee,2025-04-02,0.0
LEAD-01909,2025-01-14,qualified,qualified,9141,0.34,outbound,retail,Morgan Patel,2025-01-30,3107.94
LEAD-00844,2025-01-14,proposal,proposal,11029,0.61,outbound,retail,Jordan Lee,2025-03-28,6727.69
LEAD-00117,2025-01-14,qualified,qualified,5500,0.39,marketing,tech,Taylor Brooks,2025-04-13,2145.0
LEAD-00970,2025-01-14,lead,lead,19507,0.16,referral,tech,Taylor Brooks,2025-03-22,3121.12
LEAD-01240,2025-01-15,qualified,qualified,6072,0.51,referral,retail,Alex Chen,2025-03-22,3096.7200000000003
LEAD-00870,2025-01-15,proposal,proposal,12384,0.64,outbound,retail,Morgan Patel,2025-04-10,7925.76
LEAD-01452,2025-01-15,lead,closed_lost,8399,0.0,outbound,finance,Taylor Brooks,2025-03-21,0.0
LEAD-00250,2025-01-16,proposal,closed_won,2260,1.0,outbound,retail,Morgan Patel,2025-01-26,2260.0
LEAD-00562,2025-01-16,lead,closed_lost,15626,0.0,referral,retail,Taylor Brooks,2025-02-05,0.0
LEAD-00056,2025-01-16,qualified,qualified,3219,0.54,referral,retail,Jordan Lee,2025-01-30,1738.2600000000002
LEAD-01099,2025-01-16,qualified,closed_lost,18962,0.0,marketing,retail,Alex Chen,2025-02-11,0.0
LEAD-01871,2025-01-16,qualified,qualified,1873,0.49,referral,tech,Alex Chen,2025-03-04,917.77
LEAD-00902,2025-01-16,proposal,proposal,6611,0.67,marketing,finance,Alex Chen,2025-04-13,4429.37
LEAD-01019,2025-01-16,lead,closed_lost,17888,0.0,referral,tech,Alex Chen,2025-02-26,0.0
LEAD-00817,2025-01-16,qualified,closed_won,9658,1.0,outbound,tech,Taylor Brooks,2025-02-16,9658.0
LEAD-01806,2025-01-17,qualified,qualified,14220,0.37,marketing,retail,Alex Chen,2025-03-02,5261.4
